City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Dubna,RU,2022-10-14 14:45:28,56.7333,37.1667,41.11,80,43,3.69
181,Quang Ngai,VN,2022-10-14 14:45:35,15.1167,108.8,72.14,97,100,2.95
182,Saldanha,ZA,2022-10-14 14:46:28,-33.0117,17.9442,73.45,79,62,29.3
183,Waipawa,NZ,2022-10-14 14:46:29,-41.4122,175.5153,43.88,85,100,5.1
184,Christchurch,NZ,2022-10-14 14:42:09,-43.5333,172.6333,50.92,70,100,10.36
185,Hamilton,US,2022-10-14 14:43:34,39.1834,-84.5333,56.8,58,0,10.36
186,Wuzhou,CN,2022-10-14 14:46:29,23.4833,111.3167,66.99,45,8,4.03
187,Porto Novo,BJ,2022-10-14 14:46:29,6.4965,2.6036,85.82,67,100,8.61
188,Goderich,CA,2022-10-14 14:46:30,43.7501,-81.7165,46.72,66,52,20.71
189,Mwense,ZM,2022-10-14 14:46:30,-10.3845,28.698,93.27,11,8,6.13
190,San Francisco,US,2022-10-14 14:43:29,37.7749,-122.4194,57.18,93,100,4.0
191,Rize,TR,2022-10-14 14:46:30,40.9044,40.8949,44.37,91,100,1.3
192,Bud,US,2022-10-14 14:46:31,39.447,-86.1758,53.62,46,0,16.02
193,Aquiraz,BR,2022-10-14 14:43:00,-3.9014,-38.3911,89.46,55,6,17.4
194,Verkhoyansk,RU,2022-10-14 14:46:31,67.5447,133.385,5.74,96,91,1.79
195,Bethel,US,2022-10-14 14:45:35,41.3712,-73.414,57.29,91,100,6.91
196,Tateyama,JP,2022-10-14 14:46:32,34.9833,139.8667,69.1,89,98,20.8
197,Souillac,MU,2022-10-14 14:46:32,-20.5167,57.5167,73.78,64,40,10.36
198,Cap Malheureux,MU,2022-10-14 14:46:32,-19.9842,57.6142,72.46,65,1,5.99
199,Nicoya,CR,2022-10-14 14:44:41,10.1483,-85.452,80.13,83,77,2.33
200,Lompoc,US,2022-10-14 14:42:02,34.6391,-120.4579,61.79,96,100,1.01
201,Vila Velha,BR,2022-10-14 14:41:33,-20.3297,-40.2925,84.15,71,20,11.5
202,Saint George,US,2022-10-14 14:46:33,37.1041,-113.5841,64.8,31,0,8.05
203,Salalah,OM,2022-10-14 14:46:33,17.0151,54.0924,80.69,74,40,8.05
204,Marawi,PH,2022-10-14 14:46:34,7.9986,124.2928,69.98,93,100,5.06
205,Arlit,NE,2022-10-14 14:46:34,18.7369,7.3853,98.62,8,3,7.02
206,Sekoma,BW,2022-10-14 14:46:34,-24.4,23.8833,94.41,9,79,7.81
207,Chokurdakh,RU,2022-10-14 14:46:35,70.6333,147.9167,11.73,90,100,6.78
208,Changji,CN,2022-10-14 14:46:35,44.0167,87.3167,54.39,32,0,6.71
209,Geraldton,AU,2022-10-14 14:46:35,-28.7667,114.6,55.81,71,82,10.36
210,Ribeira Grande,PT,2022-10-14 14:46:36,38.5167,-28.7,77.4,73,75,9.22
211,Ayan,RU,2022-10-14 14:46:36,56.45,138.1667,39.52,67,4,4.52
212,Filadelfia,US,2022-10-14 14:42:21,39.9523,-75.1638,62.49,76,75,6.91
213,Puerto Colombia,CO,2022-10-14 14:46:36,10.9878,-74.9547,80.69,68,70,2.86
214,Chipinge,ZW,2022-10-14 14:46:37,-20.1883,32.6236,85.24,20,58,10.51
215,East London,ZA,2022-10-14 14:45:00,-33.0153,27.9116,63.54,100,40,6.91
216,Sadiqabad,PK,2022-10-14 14:44:29,28.3062,70.1307,82.2,17,0,3.49
217,Urucara,BR,2022-10-14 14:46:37,-2.5364,-57.76,94.08,43,100,5.19
218,Camana,PE,2022-10-14 14:46:38,-16.6228,-72.7111,65.01,62,0,7.67
219,Lady Frere,ZA,2022-10-14 14:46:38,-31.7031,27.2329,66.0,71,97,10.11
220,Lata,PT,2022-10-14 14:46:38,40.1629,-8.3327,78.49,52,0,9.51
221,Grimmen,DE,2022-10-14 14:46:39,54.1121,13.0405,58.03,78,83,7.09
222,Camopi,GF,2022-10-14 14:46:39,3.1655,-52.3158,91.27,45,75,5.46
223,Klaksvik,FO,2022-10-14 14:46:39,62.2266,-6.589,45.52,88,100,22.77
224,Ewa Beach,US,2022-10-14 14:46:40,21.3156,-158.0072,75.4,79,0,4.61
225,Mulege,MX,2022-10-14 14:46:40,26.8833,-111.9833,80.53,52,0,3.94
226,Broome,US,2022-10-14 14:46:40,42.2506,-75.833,53.67,94,40,5.75
227,Huarmey,PE,2022-10-14 14:46:41,-10.0681,-78.1522,66.2,70,0,10.16
228,Hambantota,LK,2022-10-14 14:46:41,6.1241,81.1185,77.34,100,75,5.75
229,Caravelas,BR,2022-10-14 14:46:41,-17.7125,-39.2481,83.16,57,51,9.4
230,Kuala Terengganu,MY,2022-10-14 14:47:42,5.3302,103.1408,75.15,100,40,5.01
231,Cidreira,BR,2022-10-14 14:47:42,-30.1811,-50.2056,63.27,70,100,14.18
232,Lahad Datu,MY,2022-10-14 14:47:42,5.0268,118.327,77.36,92,99,3.8
233,Turkistan,KZ,2022-10-14 14:47:43,43.0,68.0,64.13,22,53,8.25
234,Pingzhuang,CN,2022-10-14 14:47:43,42.0372,119.2889,56.01,30,0,3.24
235,Grand Island,US,2022-10-14 14:47:43,40.925,-98.342,51.58,40,20,12.66
236,Namikupa,TZ,2022-10-14 14:47:44,-10.8333,39.6,80.01,45,20,11.52
